wavelength_nm,chlorophyll-a,chlorophyll-b,fucoxanthin,prasinoxanthin
496.4,0.000305423,0.001054115,0.018571815,0.021978538
495.5,0.00034212,0.001125397,0.019185581,0.022622316
494.7,0.000310686,0.001196506,0.019821503,0.023257942
493.8,0.00034732,0.001276656,0.020436489,0.02385894
493.0,0.000315645,0.001355214,0.02110713,0.02450049
492.1,0.000287773,0.001462992,0.021730296,0.025146717
491.3,0.000286687,0.001558351,0.022409102,0.025752588
490.4,0.000323534,0.001753023,0.023060386,0.026402956
489.5,0.000256375,0.00182672,0.023746233,0.027055303
488.7,0.00031319,0.002080746,0.024371917,0.027636284
487.8,0.000253412,0.002268612,0.025027208,0.028246383
487.0,0.000251892,0.002493233,0.02569628,0.028841844
486.1,0.000227031,0.002733735,0.026314204,0.029450936
485.3,0.000246966,0.003048523,0.026989771,0.029923849
484.4,0.000197348,0.003332829,0.027495214,0.030529737
483.6,0.000176151,0.003712226,0.02820191,0.031044575
482.7,0.00017583,0.00414338,0.028775503,0.031492961
481.9,0.000174103,0.00459666,0.029328221,0.03201284
481.0,0.000166303,0.005050951,0.029708565,0.032368067
480.2,0.000201505,0.005524412,0.030193438,0.032712969
479.3,0.00017543,0.00613943,0.030752067,0.033195363
478.5,0.000168254,0.007025498,0.031333325,0.033593023
477.6,0.000146828,0.007846059,0.031753801,0.033949702
476.7,0.000148549,0.008720945,0.032132289,0.034285903
475.9,0.000121877,0.009622506,0.032453397,0.034581634
475.0,0.000164333,0.010653984,0.03280743,0.034794498
474.2,0.000148838,0.011715151,0.033037923,0.035046544
473.3,0.000166577,0.012871532,0.033243805,0.035209858
472.5,0.000121317,0.014051294,0.033464864,0.035390272
471.6,0.000193066,0.015397272,0.033625337,0.035567006
470.8,0.000158558,0.016716582,0.033718547,0.035666813
469.9,0.000146009,0.01805471,0.03382429,0.035770235
469.1,0.000149044,0.019484826,0.033885009,0.035825723
468.2,0.000123352,0.020907177,0.033986502,0.035872492
467.4,0.000146291,0.022325496,0.034042533,0.035953759
466.5,0.000174433,0.023810888,0.034029952,0.035996453
465.7,0.000185059,0.025231397,0.034098154,0.036039604
464.8,0.000173878,0.026547516,0.034201821,0.036023772
463.9,0.00016168,0.027854828,0.034205389,0.036137821
463.1,0.000209657,0.029065432,0.034291454,0.036147008
462.2,0.000272607,0.030194524,0.034299035,0.036225124
461.4,0.00024937,0.031138806,0.034439534,0.036289873
460.5,0.000291241,0.031938254,0.034535096,0.036324789
459.7,0.000324309,0.032491731,0.034655965,0.036434891
458.8,0.000363128,0.032846738,0.034748334,0.036484394
458.0,0.000379747,0.03296321,0.034896774,0.036596775
457.1,0.000445756,0.03288926,0.035042899,0.036644826
456.3,0.000488499,0.032485132,0.035188263,0.036721107
455.4,0.000598234,0.031986847,0.035303677,0.03673737
454.6,0.000740691,0.031169124,0.035481999,0.036766608
453.7,0.000847413,0.030249999,0.035599128,0.036765867
452.9,0.001009395,0.029108781,0.035643402,0.036790717
452.0,0.00121084,0.027904599,0.035779554,0.036718338
451.1,0.00146215,0.026557947,0.035839324,0.036649349
450.3,0.001705083,0.025206476,0.035833908,0.036595588
449.4,0.002077331,0.023907391,0.035883837,0.036465153
448.6,0.002315919,0.022997333,0.035844164,0.036370574
447.7,0.002790591,0.02166206,0.035784946,0.036154951
446.9,0.003473894,0.020204676,0.035663787,0.035914349
446.0,0.004207063,0.018878841,0.035501757,0.035671204
445.2,0.0050773,0.01781002,0.035300513,0.035375164
444.3,0.005981735,0.016938677,0.035095957,0.035099286
443.5,0.007042817,0.016089321,0.034850251,0.034833509
442.6,0.008269233,0.015394961,0.034542897,0.034483459
441.8,0.009480408,0.014833882,0.034243655,0.034133251
440.9,0.010936331,0.01436012,0.033939153,0.033798705
440.1,0.012424015,0.013973648,0.033531392,0.033396777
439.2,0.013928411,0.013697646,0.033209744,0.033012081
438.3,0.015503709,0.013529225,0.032784978,0.032642554
437.5,0.01700967,0.013298908,0.032393184,0.032271927
436.6,0.018473416,0.013227713,0.032019125,0.031856979
435.8,0.019782958,0.013154661,0.031597466,0.031484565
434.9,0.020890368,0.013049663,0.031266428,0.031091039
434.1,0.021812292,0.012976217,0.030852779,0.030671543
433.2,0.022514553,0.012897353,0.030496528,0.030285421
432.4,0.022980974,0.012702145,0.030159226,0.029856421
431.5,0.023195281,0.012573868,0.029803331,0.029449909
430.7,0.023204933,0.012339385,0.029433983,0.029081306
429.8,0.023026107,0.012149939,0.029058673,0.028636683
429.0,0.02268527,0.01182443,0.028691793,0.028242864
428.1,0.022192584,0.011523003,0.028405776,0.027875156
427.3,0.021635745,0.011149201,0.028073097,0.027485065
426.4,0.021056659,0.010813698,0.027799248,0.027029053
425.5,0.020389595,0.010310043,0.027446668,0.026671994
424.7,0.01977113,0.009900569,0.027155877,0.026250438
423.8,0.019210925,0.009435997,0.026832909,0.025875769
423.0,0.018658832,0.008968099,0.026470268,0.025488579
422.1,0.018263404,0.008516713,0.026154163,0.025111679
421.3,0.017839765,0.007999683,0.025802724,0.024731815
420.4,0.017569675,0.007539685,0.025455893,0.024279066
419.6,0.017400639,0.007115618,0.025130234,0.023866585
