Wavelength,Peridinin,19'-Butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,19'-keto-hexanoyloxyfucoxanthin,Violaxanthin,19'-hexanoyloxyfucoxanthin,Astaxanthin,Diadinoxanthin,Dinoxanthin,Antheraxanthin,Alloxanthin,Myxoxanthophyll,Diatoxanthin,Zeaxanthin,Lutein,Canthaxanthin,Gyroxanthin diester,Echinenone,"B,e-carotene","B,B-carotene",Chlorophyll-a,Chlorophyll-b,DV chlorophyll-a,Chlorophyllide-a,Phaeophorbide-a,Phaeophytin-a,Chlorophyll C3,chlorophyll c2
378.6,0.005003228,0.007433874,0.007621958,0.011117506,0.006483015,0.007219643,0.009314969,0.006374165,0.005612499,0.009806446,0.008256169,0.011956248,0.007928728,0.004090806,0.009285875,0.007448653,0.009047799,0.006101701,0.013319034,0.010460409,0.009114938,0.009056401,0.011912732,0.005218042,0.010083083,0.026368479,0.023121405,0.016742621,0.011238436,0.017095282
379.5,0.005049829,0.007666306,0.007883054,0.011645581,0.006653745,0.007476104,0.009610771,0.006715335,0.005754202,0.010077426,0.008621205,0.012229021,0.00822322,0.004023205,0.009536038,0.007635802,0.009277948,0.00620714,0.013580184,0.010559168,0.009353822,0.009226946,0.011921473,0.005142136,0.010116476,0.026536101,0.023379482,0.016961355,0.011353857,0.017323786
380.3,0.005304478,0.007960259,0.008149853,0.012156676,0.006950272,0.007697748,0.010072639,0.006894188,0.00582917,0.010430292,0.008938049,0.012434363,0.008590618,0.00407436,0.009767518,0.008012476,0.009636106,0.006340409,0.014094555,0.010668788,0.009791122,0.009575441,0.011962846,0.005140931,0.01019907,0.026703693,0.023647526,0.017140044,0.011334486,0.017418564
381.2,0.005394061,0.008225495,0.008425203,0.01279952,0.007133554,0.007896842,0.01063127,0.007087807,0.005941821,0.01082975,0.009305929,0.012784221,0.008858053,0.004209272,0.010251228,0.008231866,0.009981135,0.006411844,0.014407451,0.010871669,0.010040173,0.009921973,0.011982864,0.005034434,0.010254098,0.02679828,0.023938286,0.01741901,0.011361563,0.017662938
382.0,0.005585786,0.008547945,0.008661623,0.01337211,0.00746385,0.008257185,0.011154822,0.007404081,0.006099961,0.011134888,0.009618751,0.012873799,0.009243273,0.00417386,0.010550222,0.00854344,0.010405229,0.006518594,0.01480447,0.010967351,0.010385,0.01017905,0.012049291,0.004994412,0.010246783,0.027054239,0.024307679,0.017640382,0.011377462,0.017755652
382.9,0.005753911,0.008795187,0.008954778,0.014069135,0.007768932,0.008399332,0.011731562,0.007786131,0.006191281,0.011618252,0.010160923,0.013385595,0.009595427,0.004259261,0.010938865,0.008890787,0.010841908,0.006604455,0.015380844,0.011148377,0.010768838,0.010489432,0.011998971,0.004870473,0.010250724,0.027250718,0.024738453,0.017985465,0.011572359,0.018044754
383.7,0.005955176,0.009074344,0.009315982,0.014736737,0.008097912,0.008960649,0.012488846,0.008118383,0.006405698,0.012070583,0.010788959,0.013820498,0.010007228,0.004306343,0.011264101,0.009281095,0.011379332,0.006814125,0.01596865,0.011386484,0.011337783,0.010877569,0.011964616,0.004645688,0.010230843,0.027548413,0.025183511,0.018358275,0.011576754,0.01823314
384.6,0.006110483,0.00943725,0.009616281,0.015347049,0.008334856,0.009151735,0.013125501,0.008421519,0.006546844,0.012620845,0.011333746,0.014255422,0.010450081,0.004352635,0.01174471,0.009553759,0.011861112,0.006917935,0.016473271,0.011594223,0.01177099,0.011136107,0.011966354,0.00454271,0.010174864,0.027760979,0.025722884,0.018786076,0.011680026,0.018408521
385.4,0.006241085,0.009687002,0.009866687,0.015759014,0.008573129,0.009452189,0.013701542,0.008629966,0.006640018,0.012955718,0.011786169,0.014458661,0.010696883,0.004466615,0.011967143,0.009892685,0.012244907,0.007073927,0.016847728,0.011716566,0.012125331,0.011499608,0.011935336,0.004451046,0.01017302,0.027800281,0.026051884,0.019057111,0.011762615,0.018598495
386.3,0.00634267,0.009959566,0.010115338,0.016247649,0.008804694,0.009677614,0.014181525,0.008934434,0.00671957,0.013382601,0.012232003,0.014925916,0.011014255,0.004588059,0.012329114,0.010134251,0.012687372,0.007182442,0.017248247,0.011937706,0.012505075,0.011721428,0.011953835,0.004254085,0.010115722,0.028086851,0.026516675,0.019382655,0.011825566,0.018661462
